generation;sosa;id;prenom;nom;sexe;source;nb_infos;nb_evenements;nb_sources;nb_parents;forme_parents;parents_mariage_date;parents_mariage_lieu;profession;sous_titre;titre_noblesse;note_titre_noblesse;nb_notes;nb_notes_longues;infos;nb_err;GeneanetSpider 1.0.26 18/04/2025 à 01:10
29;497251693;@I00575@;Jeanne;DE GENEVE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=jeanne&n=de+geneve;2;0;1;2;forme2;;"";"";"";"";"";0;0;"- Née vers 1050
- Décédée en 1095, à l'âge d'environ 45 ans";0;
29;497251688;@I00576@;Henri 1er;CAPET;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=henri+1er&n=capet;3;0;1;2;forme2;4 mai 1051;"Reims, 51454, Marne, Champagne-Ardenne, France,";"Roi de France de 1031 à 1060";"";"";"";0;0;"- Né le 4 mai 1008
- Décédé le 4 août 1060 - Vitry-aux-Loges, 45346, Loiret, Centre, France, à l'âge de 52 ans
- Roi de France de 1031 à 1060";0;
29;497251695;@I00577@;Etiennette, Stéphanie;DE LONGWY-METZ;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=etiennette+stephanie&n=de+longwy+metz;2;0;1;0;;;"";"";"";"";"";0;0;"- Née vers 1035
- Décédée en 1092, à l'âge d'environ 57 ans";0;
29;497251694;@I00579@;Guillaume 1er Le Grand ou Tête Hardie;DE BOURGOGNE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=guillaume+1er+le+grand+ou+tete+hardie&n=de+bourgogne;3;0;1;0;;;"";"Comte palatin de Bourgogne";"";"";"";0;0;"- Né vers 1017
- Décédé le 17 novembre 1087 - Besançon, 25056, Doubs, Franche-Comté, France, à l'âge d'environ 70 ans
- Comte palatin de Bourgogne";0;
29;497251690;@I00580@;Floris ou Florent;DE HOLLANDE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=floris+ou+florent&n=de+hollande;3;0;1;0;;1050;"";"Comte de Hollande et de Frise Occidentale";"";"";"";0;0;"- Né vers 1010
- Décédé le 4 juillet 1061, à l'âge d'environ 51 ans
- Comte de Hollande et de Frise Occidentale";0;
29;497251691;@I00581@;Gertrude;DE SAXE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=gertrude&n=de+saxe;2;0;1;0;;1050;"";"";"";"";"";0;0;"- Née vers 1028
- Décédée le 11 août 1113 - Furnes Belgique, à l'âge d'environ 85 ans";0;
29;497251692;@I00578@;Amédée 2;DE SAVOIE;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=amedee+2&n=de+savoie;3;0;1;2;forme2;;"";"Comte de Maurienne";"";"";"";0;0;"- Né vers 1034
- Décédé le 26 janvier 1080, à l'âge d'environ 46 ans
- Comte de Maurienne";0;
30;994500935;@I00582@;Rangearde;DE LA MARCHE;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=rangearde&n=de+la+marche;2;0;1;2;forme2;1033;"";"";"";"";"";0;0;"- Née en 1017
- Décédée le 23 octobre 1075 - Barcelona, Barcelona, Cataluña, Espagne, à l'âge de 58 ans";0;
30;994500934;@I00583@;Bernard Aton 3;DE TRANCAVEL;M;https://gw.geneanet.org/oollierbolvin?lang=fr&p=bernard+aton+3&n=de+trancavel;3;0;1;2;forme2;1033;"";"Vicomte d'Albi, de Nîmes, d'Uzès, seigneur d'Ambialet";"";"";"";0;0;"- Né en 1010
- Décédé en 1060, à l'âge de 50 ans
- Vicomte d'Albi, de Nîmes, d'Uzès, seigneur d'Ambialet";0;
30;994502949;@I00584@;Adélaïde;DE SUBSTANTION;F;https://gw.geneanet.org/oollierbolvin?lang=fr&p=adelaide&n=de+substantion;2;0;1;0;;;"";"";"";"";"";0;0;"- Née en 990
- Décédée avant 1066";0;
